barcode,Name,Ensembl
CD PC,Scnn1g,
CD PC,Hes1,
CD PC,Cav1,
CD PC,Cdh16,
CD PC,Adgrg1,
CD PC,Cav2,
CD PC,Nudt4,
CD PC,Tspan8,
CD PC,Kcnj1,
CD PC,Cdo1,
CD PC,Tmem45b,
CD PC,Tacstd2,
CD PC,Olfm1,
CD PC,Avpr2,
CD PC,Pdzk1ip1,
CD PC,L1cam,
CD PC,Cldn4,
CD PC,Tbck,
CD PC,BC018473,
CD PC,Ivns1abp,
CD PC,Tmem229a,
CD PC,Gstt1,
CD PC,Gprc5b,
CD PC,Tmem178,
CD PC,AI838599,
CD PC,Phactr1,
CD PC,Celsr2,
CD PC,Fzd7,
CD PC,Myh10,
CD PC,Slc2a9,
CD PC,Rnf186,
CD PC,Trpv5,
CD PC,Stc1,
CD PC,Peli2,
CD IC,Atp6v1g3,
CD IC,Atp6v0d2,
CD IC,Hmx2,
CD IC,Car2,
CD IC,Oxgr1,
CD IC,Mme,
CD IC,Tmem61,
CD IC,Slc25a4,
CD IC,Fam13a,
CD IC,Uqcrb,
CD IC,9130008F23Rik,
CD IC,Chchd10,
CD IC,Mif,
CD IC,Tbc1d24,
CD IC,Cycs,
CD Trans,Slc26a4,
CD Trans,Car12,
CD Trans,Rhbg,
CD Trans,Hepacam2,
CD Trans,Insrr,
CD Trans,Clcnkb,
CD Trans,Col18a1,
CD Trans,Slc43a2,
CD Trans,Tmem117,
CD Trans,Sox4,
CD Trans,Laptm4b,
CD Trans,Parm1,
CD Trans,St14,
CD Trans,Enpp5,
CD Trans,Gclc,
CD Trans,Rpn1,
CD Trans,Syt7,
CD Trans,Itgav,
CD Trans,Tmem50b,
CD Trans,Atp5a1,
CD Trans,Ddx6,
CD Trans,Ctnnb1,
CD Trans,Aco2,
CD Trans,Smpd1,
CD Trans,Ogdh,
CD Trans,Sec23b,
CD Trans,Cdc42bpb,
CD Trans,Pip4k2c,
CD Trans,Cttn,
CD Trans,Chd4,
CD Trans,Mprip,
CD Trans,Sdha,
Fib,Lyz2,
Fib,Plac8,
Fib,Ifitm3,
Fib,Ifi27l2a,
Fib,Lst1,
Fib,Gngt2,
Fib,Ms4a6c,
Fib,S100a4,
Fib,Lgals3,
Fib,Clec4a3,
Fib,Ucp2,
Fib,Samhd1,
Fib,Psap,
Fib,Mpeg1,
Fib,Ccr2,
Fib,Fam49b,
Fib,Clec4a1,
Fib,Ms4a4c,
Fib,Itgal,
Fib,Tgfbi,
Fib,Chil3,
Fib,Tppp3,
Fib,Msn,
Fib,Tgfb1,
Fib,Plbd1,
Fib,Flna,
Fib,Cd300a,
Fib,Rap1a,
Fib,Cytip,
Fib,Ear2,
Fib,Lyn,
Fib,Fgr,
Fib,Hck,
Fib,Ptpn6,
Fib,Tmcc1,
Fib,Fn1,
Fib,Gm2a,
Fib,Ace,
Fib,Adgre4,
Fib,Ptpn1,
Fib,Ifi30,
Fib,Sirpb1c,
Fib,Clec12a,
Fib,Irf7,
Fib,Ap1s2,
Fib,Filip1l,
Fib,Sat1,
Fib,Nr4a1,
Fib,Tnfrsf1b,
Fib,Pitpna,
Fib,Prkcd,
Fib,Eno3,
Fib,Napsa,
Fib,Psma7,
Fib,Cd209a,
Fib,Abi3,
Fib,Treml4,
Fib,Lrp1,
Fib,Ms4a6d,
Fib,F13a1,
Fib,Arl5c,
